@relation fire.detection

@attribute Red numeric
@attribute Green numeric
@attribute Blue numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Class {TRUE, FALSE}

@data
%Estoy en: /projects/examen/src/../src/no/100127121532_1_900x600.jpg
1157.571289,1393.074341,1686.545654,6.315514,3.104820,6.633174,FALSE
658.975647,713.591248,795.063721,6.246984,1.998578,3.135787,FALSE
1051.068115,1132.146851,1180.636841,5.944423,1.783525,4.733957,FALSE
1089.976196,1124.463135,1170.494385,5.759712,1.875823,4.795467,FALSE
1128.808105,1267.361816,1426.318115,6.483030,2.481744,5.622833,FALSE
1011.383728,1100.867554,1240.238159,6.634059,2.135916,4.888863,FALSE
759.236877,789.073120,735.074402,4.096800,1.255689,3.176884,FALSE
1018.093750,1054.666260,934.642517,4.227396,1.760149,4.230558,FALSE
1023.220642,1013.389404,915.225647,3.595981,1.650302,4.145722,FALSE
1060.922485,1075.522461,928.502502,3.240036,2.142566,4.369109,FALSE
1230.686890,1254.004395,1120.188110,4.148421,1.796689,5.080680,FALSE
1429.389404,1510.768799,1245.126221,3.569257,2.627415,6.032257,FALSE
1876.621216,1949.056274,1620.153809,3.730839,2.704814,7.842955,FALSE
1880.729370,1975.688110,1543.496826,3.178298,3.164410,7.925408,FALSE
1606.368164,1717.152466,1267.051880,2.806770,3.854662,6.904924,FALSE
1767.020630,1868.007446,1493.421265,3.747868,3.068943,7.472863,FALSE
1100.939331,1288.996826,883.838135,3.379461,4.483422,5.101759,FALSE
1023.405640,1251.935059,780.975647,3.108091,5.314672,4.923871,FALSE
1411.380615,1590.993774,1141.367554,3.039617,4.248310,6.275171,FALSE
1496.144409,1676.805054,1052.597534,3.079961,5.235092,6.660193,FALSE
1507.344360,1642.480591,1017.936279,2.553750,5.334093,6.515785,FALSE
%Estoy en: /projects/examen/src/../src/no/130628103145_1_900x600.jpg
1438.676880,1794.606201,2280.806885,6.833120,4.555891,9.027119,FALSE
1240.441284,1650.266846,2224.563232,7.176301,5.349590,8.731220,FALSE
1189.738770,1582.889404,2207.478027,7.233498,5.544155,8.657667,FALSE
1174.620605,1528.260620,2092.168213,7.052603,5.327615,8.248517,FALSE
1188.520020,1575.562500,2175.628174,7.103735,5.534860,8.586521,FALSE
1034.719360,1009.463745,862.532471,3.485911,3.026110,4.233111,FALSE
1094.071899,1082.922485,975.390015,3.708438,2.950410,4.548151,FALSE
1262.554321,1288.713745,1271.711304,4.151947,2.717051,5.530838,FALSE
1405.338745,1426.091309,1424.156860,4.485185,3.036275,6.264603,FALSE
1443.606934,1523.516846,1562.993164,5.187275,2.857128,6.644632,FALSE
1333.635010,1319.074341,1045.389404,2.789758,3.114511,5.395237,FALSE
1370.645630,1375.495605,1102.821289,2.924297,3.289826,5.604361,FALSE
1498.121216,1487.231934,1197.356934,2.583300,2.882535,6.007425,FALSE
1633.853760,1645.713745,1293.931274,2.596535,3.000377,6.601253,FALSE
1546.308105,1519.481934,1264.688110,3.138652,2.956817,6.239497,FALSE
1553.068726,1456.872559,1170.118774,1.899338,3.132632,6.119587,FALSE
1676.593750,1577.797485,1261.793701,1.686920,3.170110,6.607835,FALSE
1583.226929,1557.398804,1211.941284,2.035163,3.255978,6.343257,FALSE
1667.062500,1619.614380,1227.255005,1.955410,3.438681,6.611007,FALSE
1748.423096,1726.753174,1294.243164,2.166340,3.373055,7.014077,FALSE
1116.471924,1116.798096,881.883728,3.378892,3.567214,4.620458,FALSE
1427.918091,1415.478149,1103.487549,2.632825,3.271878,5.786180,FALSE
1286.258789,1272.028076,1071.854370,3.200781,3.123181,5.264286,FALSE
1369.686279,1356.198730,1062.295044,3.209230,3.651195,5.646513,FALSE
1676.126221,1612.198120,1233.960571,2.322411,3.537289,6.718939,FALSE
%Estoy en: /projects/examen/src/../src/si/fire_tree.jpg
2113.808105,2455.577393,2739.766357,6.933093,2.756439,10.745203,FALSE
2224.143066,2563.781250,2780.153809,6.741947,2.397394,10.904552,FALSE
2550.863770,2502.701172,2430.766846,2.679686,0.837287,10.122593,FALSE
1827.966919,1655.426880,1619.640625,1.759179,1.362005,7.167969,FALSE
2495.092529,2545.168701,2534.446289,4.334409,0.527454,10.093780,FALSE
1888.880005,2200.579346,2312.630615,6.225935,2.496705,9.144719,FALSE
2338.995605,2670.313721,2807.688232,6.079646,2.048961,11.056514,FALSE
2630.483154,2237.011230,2094.211914,2.108730,2.466146,10.348633,FALSE
1807.527466,1642.864380,1639.113159,4.613186,1.215255,7.098567,FALSE
2284.980713,2343.070068,2358.620605,5.312313,0.514476,9.312162,FALSE
1047.716919,1251.057495,1284.484985,5.529173,3.165689,5.208667,FALSE
2191.172607,2358.715576,2408.907471,5.473349,1.292554,9.556938,FALSE
2524.778076,1900.593750,1699.564331,1.936363,3.795632,9.901312,FALSE
1868.064941,1771.031860,1774.831299,4.825084,0.921875,7.396026,FALSE
1687.626221,1707.854980,1700.112549,4.388794,0.810213,6.818673,FALSE
893.588745,1027.571289,1025.428101,5.223095,2.907553,4.199862,FALSE
1364.981201,1395.349976,1410.549316,5.044719,1.315693,5.754920,FALSE
1703.833740,1216.951294,1152.205566,4.087655,3.430989,6.692091,FALSE
1316.533691,1236.916870,1257.141235,5.725215,1.302910,5.290361,FALSE
886.143127,884.038757,855.923767,3.660868,1.994184,3.631871,FALSE
598.905640,642.803772,590.549377,4.248329,2.659521,2.578075,FALSE
907.494995,927.406250,922.195618,5.501485,2.087730,3.824126,FALSE
272.366882,298.399994,277.054993,4.178623,3.767666,1.273346,FALSE
208.311249,207.719376,191.105621,2.980883,2.646222,0.869422,FALSE
249.726257,241.557495,227.820007,3.700697,2.735417,1.052091,FALSE
%Estoy en: /projects/examen/src/../src/si/forestfire.jpg
804.551880,590.751892,446.859375,0.943526,4.673772,3.155279,FALSE
1318.707520,883.716858,454.361237,1.069459,7.599019,5.171426,FALSE
1736.260620,1191.343140,571.134399,1.102469,7.930937,6.808981,FALSE
2161.828857,1943.438721,1316.189941,1.522361,4.694132,8.478789,FALSE
2334.809326,2239.465088,1797.003174,1.645922,2.784593,9.156071,FALSE
1130.353760,692.223755,392.871246,0.862768,7.439074,4.432701,FALSE
1551.272461,922.145020,437.540619,0.906772,8.445202,6.083357,FALSE
1945.846191,1342.530029,617.098145,1.096206,8.021511,7.630850,FALSE
2148.626953,1558.525635,742.297485,1.262740,7.458696,8.426199,FALSE
1747.905640,1700.009399,1291.675659,1.842054,3.171249,6.862266,FALSE
1382.876221,737.166870,345.296875,0.813761,8.508236,5.423111,FALSE
1876.116821,1020.859375,491.627502,0.754569,8.681697,7.357270,FALSE
1637.776245,1046.016846,568.598755,0.896407,7.876425,6.422642,FALSE
2089.225098,1406.763184,443.899384,1.130352,9.275498,8.193218,FALSE
1429.911865,1042.851196,533.393738,1.327401,6.739219,5.611716,FALSE
1822.290039,1009.396851,288.855011,0.905202,9.412577,7.146422,FALSE
2325.291260,1249.037476,326.607513,0.887708,10.267775,9.119063,FALSE
2132.331787,1257.980591,450.154999,0.945252,9.420003,8.362170,FALSE
1938.739380,1220.043701,407.943115,1.018982,9.295191,7.602865,FALSE
1989.608765,1179.361206,460.695007,0.948434,9.019284,7.802400,FALSE
1127.699951,663.744995,344.933746,0.885987,7.203790,4.422439,FALSE
1349.747559,937.568726,493.648743,1.052148,7.094048,5.293141,FALSE
1816.432495,1190.546265,494.026245,1.065506,8.425006,7.123225,FALSE
1859.515015,1253.783081,563.736267,1.125836,7.961118,7.292413,FALSE
1647.765625,1185.198730,577.426880,1.214305,7.168245,6.462060,FALSE
%Estoy en: /projects/examen/src/../src/si/woodmansie090715sm1.25022130_std-1.jpg
835.151855,488.583130,150.139999,0.966447,10.161915,3.275164,FALSE
961.033752,566.417480,175.566879,0.982598,10.098024,3.768775,FALSE
965.483154,577.698120,182.625000,1.011993,9.953315,3.786236,FALSE
1001.980652,573.386230,198.861252,0.941871,9.835446,3.929328,FALSE
963.131897,564.510620,188.677505,0.974263,9.809487,3.777016,FALSE
990.816895,593.208740,189.488754,0.979858,10.014563,3.885552,FALSE
1324.140625,776.410645,306.238739,0.926297,9.527438,5.192662,FALSE
1727.323730,1057.630615,518.091248,0.891847,8.795590,6.773701,FALSE
1710.614990,990.628113,510.883118,0.801540,8.587632,6.708261,FALSE
1553.244995,951.434387,489.050629,0.870198,8.357153,6.091217,FALSE
